,X = 0,X = -200,X = -400,X = -600,X = -800,X = -1000,X = 0,X = 200,X = 400,X = 600,X = 800,X = 1000
p1,0.0376424433655,1.0973993560911999,2.0482540546704997,3.1099836428188,4.1114231746186,5.092678232194602,0.037287635284,-0.9820533301028,-1.9737654333161005,-3.0318490449302002,-4.0024330857098,-5.0285975169161
p2,-0.014242419561700002,1.0392232856636,1.9840577021163002,3.0389160047521,4.034280795080099,5.009971987799999,-0.014603852667299997,-1.0280876820532001,-2.0150739468848,-3.0690443548449,-4.037069504107101,-5.062340807089
p3,-0.0039694347158,1.0476821230592002,1.9910483555014002,3.0441787941596004,4.0376778804316,5.0113176406422,-0.0043528979946,-1.0170679114894,-2.0032002712250003,-3.056432919882,-4.0238552886928005,-5.048344778991201
p4,0.006956930769600001,1.0574046473232,2.0001121825992008,3.052661042016,4.045831855255201,5.018920796124001,0.006583421241600001,-1.0035683045544004,-1.9862288983584002,-3.034444248470401,-3.9956573117136003,-5.011967279846401
p5,0.021026169740800002,1.0471387302096002,1.9680475376400006,2.996496439158401,3.9670347933712007,4.9183357158928,0.020669539376,-0.9658491588511999,-1.9258383855952002,-2.9500313021312,-3.8897285742320005,-4.88341780488
p6,-0.013782854661500003,1.0415066829883002,1.9876923194626002,3.0440080040390005,4.0405008114456,5.0171376023483,-0.014127608339100001,-1.0296506142993,-2.0186634297109003,-3.0749799448651,-4.0448922181724996,-5.072290921353
p7,-0.0150624159485,1.0355495833440003,1.9778971817540005,3.0298819517960003,4.0225276928785005,4.995244063164501,-0.015437940407000002,-1.02633770918,-2.010589454922,-3.0617703145195003,-4.0272686109130005,-5.049833625215001
p8,0.0043536822606,1.0623930560841999,2.0114963963287,3.070786475175,4.070234231832001,5.049736603665999,0.0039879971653,-1.0149981706462,-2.0071190910291,-3.0665858606813003,-4.0394519891722,-5.0697054954304
p9,-0.006386280701399998,1.0429738758914002,1.9841829813098004,3.0347574073473003,4.025753477316401,4.996815543547801,-0.006736031459899999,-1.0167770128548,-2.000136309364,-3.0501920369719002,-4.0141834498382,-5.034726316891001
p10,0.0055481141994,1.057093098017,2.0004546263252,3.0537211703520994,4.0475667547228005,5.0217172891415,0.0051435710256,-1.0065530797509,-1.9917834850968,-3.0439520198683008,-4.010224406549001,-5.0335386583075
p11,-0.0011658847671000001,1.054209637818,2.0008319210232,3.0573990044346,4.0540570023912,5.030221700413801,-0.0016305669725999998,-1.0169455954149003,-2.0053861462209004,-3.0605751250179,-4.029181173535799,-5.0543370497193
