,AoA_-10,AoA_-9,AoA_-8,AoA_-7,AoA_-6,AoA_-5,AoA_-4,AoA_-3,AoA_-2,AoA_-1,AoA_0,AoA_1,AoA_2,AoA_3,AoA_4,AoA_5,AoA_6,AoA_7,AoA_8,AoA_9,AoA_10
p01,0.6378592140972614,0.7147942073643208,0.7983815558254719,0.878167200833559,0.9584931023418903,1.0432316549122334,1.1147059686481953,1.1822269447147846,1.3049848563969135,1.4540355689823627,1.7474118955433369,1.4538718946278095,1.2392694242298603,1.075468946248293,0.9586454518139362,0.8544034250080585,0.7483726628124714,0.6299956925213337,0.5199972279369831,0.4035538621246815,0.2901088483631611
p02,-0.5489681186154485,-0.7748475493863225,-1.0253641428425908,-1.2890668930485845,-1.552829367108643,-1.8424442829564214,-2.114833098836243,-2.3707711519673467,-2.6525230230763555,-2.8900737585499883,-3.0768189253285527,-2.8829941572621465,-2.631530744023621,-2.3630006136372685,-2.10581396240741,-1.8453728975728154,-1.5814931215718389,-1.3086217464879155,-1.0537150921300054,-0.8072823705151677,-0.5774219455197453
p03,-0.8903140593320131,-1.0525467563420534,-1.2275713849812746,-1.4055972266942263,-1.5796080995351076,-1.7706155944615602,-1.94300283677876,-2.097671167925,-2.273301975801587,-2.4108852315694094,-2.5133680272847414,-2.3967162538319826,-2.2443295884877443,-2.0781215596944094,-1.9208229947835207,-1.755120174959302,-1.5856529641896486,-1.402691738680005,-1.2322867084294558,-1.0591287780553102,-0.8943390417844057
p04,-1.0296706380322576,-1.1524056615307927,-1.2827395619824529,-1.411510986275971,-1.5344953956082463,-1.6689050616696477,-1.7823898019269109,-1.8755913199856877,-1.9886227073147893,-2.0799079360440373,-2.2005212726071477,-2.0673473300412297,-1.9569061221554875,-1.8501899661496282,-1.7533812941983342,-1.644282621331513,-1.5288683595135808,-1.3974352302029729,-1.275340718217194,-1.145491880364716,-1.0207846583798528
p05,-1.042624761350453,-1.1424844758585095,-1.2478564279153943,-1.3506936328485608,-1.4477671878412366,-1.5541867511346936,-1.640045334585011,-1.7090791957452893,-1.8098969953134656,-1.9149687783792615,-2.0769852893427014,-1.9084767596796155,-1.7828743951395154,-1.6845111148431897,-1.6099402206018567,-1.5273187654092908,-1.4379344480112195,-1.3327996032312512,-1.2358948485925794,-1.1302931802347302,-1.0286109941080213
p06,-1.5760981049388647,-1.70795120857656,-1.8472916092723608,-1.9827770199626684,-2.1105686631053686,-2.2534018959850073,-2.3711272682994604,-2.4857214894145727,-2.6723665203899145,-2.877539297565818,-3.133109947666526,-2.8734771218150854,-2.640967270359397,-2.4555250611156225,-2.3281802143901587,-2.2126449551433325,-2.0935183968394995,-1.9533498492091894,-1.8261437620967627,-1.6857445444911718,-1.5511342491954565
p07,-0.9740908686071634,-1.0455195251852274,-1.1211156193166971,-1.194498473778367,-1.2644122187048197,-1.3456456009298563,-1.419722968712449,-1.5149055067449808,-1.656045014038682,-1.8037941996008158,-1.470264369621873,-1.8017601314932108,-1.6404787842184305,-1.5014950577169657,-1.3967661205679178,-1.3209239784628153,-1.2525979820638895,-1.174860531464219,-1.1059952322393656,-1.0293474737554789,-0.9562298599630594
p08,-0.9400457516312599,-1.0009861961007118,-1.065477229654789,-1.1282117143273354,-1.1888174787163734,-1.2627749219536781,-1.3406018987298012,-1.457326389849186,-1.606399990618229,-1.5854985490441322,-1.2853660359978676,-1.4717451110482216,-1.5926637426018715,-1.4477724805474281,-1.3228448405861855,-1.2399110570549965,-1.1766898408532143,-1.1081655994057655,-1.049518920481205,-0.983710266649723,-0.9210802093148232
p09,-0.924646926112473,-0.9779599430039525,-1.0344850542023778,-1.0893209697678685,-1.143181157298386,-1.2126918556168675,-1.2960747005417943,-1.4287520172074437,-1.4787127496674657,-1.152438354678452,-1.267517519183457,-1.1488005639985204,-1.3790322067216039,-1.4202883960679173,-1.2825001003220677,-1.1913357498124242,-1.1307307006791234,-1.0687418701127172,-1.017600846476853,-0.9595223190262914,-0.9046928407624364
p10,-0.8975350353866816,-0.9434687588363886,-0.992300758138299,-1.039843687787652,-1.0877734515815973,-1.1539063546806574,-1.240913638845086,-1.369465360417962,-1.0760878417640924,-1.1596504542976618,-1.2047386262565851,-1.1547699067741632,-1.0503989551216364,-1.3412221763283014,-1.2304053399711847,-1.1341644618660212,-1.0753399226814508,-1.0190525148063898,-0.9746489617973566,-0.9240807984024286,-0.876611540094018
p11,-0.8531674025580287,-0.8879340765997767,-0.925979065708816,-0.9655538676306605,-1.0103217838332057,-1.0783429620787501,-1.1648030756041408,-0.9797520516440272,-1.0663229702040553,-1.0960489986464381,-1.0886584995314479,-1.0831174133345485,-1.0482649086043239,-0.9638943551108241,-1.1506969211623073,-1.0621245382353663,-0.999824452213943,-0.9457887886092067,-0.9082554457709193,-0.8679476259276271,-0.8316516755148768
p12,-0.7786541674286127,-0.8096053693443537,-0.8487902972847223,-0.8952491972595453,-0.9492195341736078,-1.0220310781151056,-0.9545738194137812,-0.911498436704278,-0.9485195968300104,-0.9554060194641352,-0.9337748978286982,-0.941887566819787,-0.9286917541176081,-0.8976059053093195,-0.8731636498123407,-1.0068218801170588,-0.9423049185425043,-0.8795853946357965,-0.8342692945152521,-0.791757533326745,-0.7583215329796076
p13,-0.7082282560877502,-0.7469067233614624,-0.796704079490155,-0.8520815032534301,-0.9099670904688537,-0.8904586690478027,-0.7514515775255859,-0.7941046613268554,-0.8122583883814514,-0.8113208669237792,-0.7830174225382507,-0.7988113421015441,-0.7942142742685974,-0.7787704127840698,-0.7440396207384765,-0.7921504038386047,-0.9041038411669433,-0.839605953078717,-0.7863487261347473,-0.7339984434656799,-0.6919793742708862
p14,-0.6531586926430464,-0.7047615330666304,-0.7637961190193892,-0.802282003685832,-0.5862646382302046,-0.6370605509728193,-0.6800160687416792,-0.6887285988777876,-0.6941950004547834,-0.6855182331055403,-0.6475482266396284,-0.6730117481201887,-0.6772387903183699,-0.6734675448387861,-0.6651298087090254,-0.6294055860489607,-0.5657774489372969,-0.7608058135956526,-0.75598737411201,-0.6963205020874739,-0.6416207235306501
p15,-0.5989538887515664,-0.5885326126590371,-0.46386607084423304,-0.5026947120204568,-0.5324437478557229,-0.5540729621425271,-0.5619085291400552,-0.5573412040248513,-0.5527167180553079,-0.5378998974338174,-0.491777584888041,-0.525871560908854,-0.5377228120341897,-0.5431821206584573,-0.5467594126239419,-0.5399853447452188,-0.5250986674800515,-0.49430082831531763,-0.4540673354640603,-0.5328590730205178,-0.5901738265529275
p16,-0.35178765282034874,-0.37766682729125023,-0.39811208471655846,-0.40917694196105003,-0.41556793078780174,-0.42190205678343773,-0.4199270270764828,-0.4090494476258755,-0.39818182215094566,-0.3805939815938473,-0.3350444696843624,-0.36976316198706627,-0.3860410414636135,-0.39731818065047264,-0.4071495197713375,-0.4096059165894985,-0.40726306661963463,-0.39859479293227196,-0.3895606957376003,-0.3705470524728298,-0.3406428061425686
p17,-0.2515483754687011,-0.256799693685025,-0.25984569964930415,-0.26099589047953486,-0.2599315601401031,-0.2589094894938171,-0.2514270502142608,-0.23755362210795283,-0.22531961975619197,-0.21377199469134212,-0.19576334534212947,-0.20664126751944423,-0.21761056361719966,-0.2296503889374435,-0.24251797376200557,-0.25033148704096675,-0.25347286043688655,-0.25319799361750484,-0.25346827087923884,-0.25005727587267756,-0.24504446564242244
p18,-0.12315301969647408,-0.1218845583498478,-0.12034206464886665,-0.11827272549271584,-0.11518071964383125,-0.11220457032322884,-0.10591569170355797,-0.09968579187989235,-0.10022379830479622,-0.10870488360524178,-0.13113262131810188,-0.10746859386563301,-0.098537128418684,-0.09692611172795296,-0.10187994316220284,-0.10797378793358803,-0.11165120080113411,-0.11417664960026741,-0.11712775006890297,-0.11858530715107918,-0.11950922384858131
