,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
p01,0.6761420369148254,0.7530770301818848,0.8366643786430359,0.916450023651123,0.9967759251594543,1.0815144777297974,1.1529887914657593,1.2205097675323486,1.3432676792144775,1.4923183917999268,1.7856947183609009,1.4921547174453735,1.2775522470474243,1.113751769065857,0.9969282746315002,0.8926862478256226,0.7866554856300354,0.6682785153388977,0.5582800507545471,0.4418366849422455,0.3283916711807251
p02,-0.5370519757270813,-0.7629314064979553,-1.0134479999542236,-1.2771507501602173,-1.5409132242202759,-1.8305281400680542,-2.102916955947876,-2.3588550090789795,-2.6406068801879883,-2.878157615661621,-3.0649027824401855,-2.8710780143737793,-2.619614601135254,-2.3510844707489014,-2.093897819519043,-1.8334567546844482,-1.5695769786834717,-1.2967056035995483,-1.0417989492416382,-0.7953662276268005,-0.5655058026313782
p03,-0.9199004769325256,-1.082133173942566,-1.257157802581787,-1.4351836442947388,-1.6091945171356201,-1.8002020120620728,-1.9725892543792725,-2.1272575855255127,-2.3028883934020996,-2.440471649169922,-2.542954444885254,-2.426302671432495,-2.273916006088257,-2.107707977294922,-1.9504094123840332,-1.7847065925598145,-1.6152393817901611,-1.4322781562805176,-1.2618731260299683,-1.0887151956558228,-0.9239254593849182
p04,-1.0450633764266968,-1.167798399925232,-1.298132300376892,-1.4269037246704102,-1.5498881340026855,-1.684297800064087,-1.79778254032135,-1.890984058380127,-2.0040154457092285,-2.0953006744384766,-2.215914011001587,-2.082740068435669,-1.9722988605499268,-1.8655827045440674,-1.7687740325927734,-1.6596753597259521,-1.54426109790802,-1.412827968597412,-1.2907334566116333,-1.1608846187591553,-1.036177396774292
p05,-1.0478614568710327,-1.1477211713790894,-1.2530931234359741,-1.3559303283691406,-1.4530038833618164,-1.5594234466552734,-1.6452820301055908,-1.7143158912658691,-1.8151336908340454,-1.9202054738998413,-2.0822219848632812,-1.9137134552001953,-1.7881110906600952,-1.6897478103637695,-1.6151769161224365,-1.5325554609298706,-1.4431711435317993,-1.338036298751831,-1.2411315441131592,-1.13552987575531,-1.033847689628601
p06,-1.5540740489959717,-1.685927152633667,-1.8252675533294678,-1.9607529640197754,-2.0885446071624756,-2.2313778400421143,-2.3491032123565674,-2.4636974334716797,-2.6503424644470215,-2.855515241622925,-3.111085891723633,-2.8514530658721924,-2.618943214416504,-2.4335010051727295,-2.3061561584472656,-2.1906208992004395,-2.0714943408966064,-1.9313257932662964,-1.8041197061538696,-1.6637204885482788,-1.5291101932525635
p07,-0.9977972507476807,-1.0692259073257446,-1.1448220014572144,-1.2182048559188843,-1.288118600845337,-1.3693519830703735,-1.4434293508529663,-1.538611888885498,-1.6797513961791992,-1.827500581741333,-1.4939707517623901,-1.825466513633728,-1.6641851663589478,-1.525201439857483,-1.420472502708435,-1.3446303606033325,-1.2763043642044067,-1.1985669136047363,-1.1297016143798828,-1.053053855895996,-0.9799362421035767
p08,-0.9678521752357483,-1.0287926197052002,-1.0932836532592773,-1.1560181379318237,-1.2166239023208618,-1.2905813455581665,-1.3684083223342896,-1.4851328134536743,-1.6342064142227173,-1.6133049726486206,-1.313172459602356,-1.49955153465271,-1.6204701662063599,-1.4755789041519165,-1.3506512641906738,-1.2677174806594849,-1.2044962644577026,-1.135972023010254,-1.0773253440856934,-1.0115166902542114,-0.9488866329193115
p09,-0.9386638402938843,-0.9919768571853638,-1.048501968383789,-1.1033378839492798,-1.1571980714797974,-1.2267087697982788,-1.3100916147232056,-1.442768931388855,-1.492729663848877,-1.1664552688598633,-1.2815344333648682,-1.1628174781799316,-1.3930491209030151,-1.4343053102493286,-1.296517014503479,-1.2053526639938354,-1.1447476148605347,-1.0827587842941284,-1.0316177606582642,-0.9735392332077026,-0.9187097549438477
p10,-0.9118340611457825,-0.9577677845954895,-1.0065997838974,-1.054142713546753,-1.1020724773406982,-1.1682053804397583,-1.255212664604187,-1.383764386177063,-1.0903868675231934,-1.1739494800567627,-1.219037652015686,-1.1690689325332642,-1.0646979808807373,-1.3555212020874023,-1.2447043657302856,-1.148463487625122,-1.0896389484405518,-1.0333515405654907,-0.9889479875564575,-0.9383798241615295,-0.8909105658531189
