DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:22:09
4;0,00 mm;0,00 mm;-75,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	3,10885	2,8	17,06	0,13797	4,5	-5,89
2	3,83931	3,2	15,26	0,55483	5,1	0,02
3	4,06501	3,6	15,09	2,06267	3,0	-2,88
4	4,87696	3,4	15,17	5,94875	2,8	4,95
5	5,52677	2,6	15,52	7,86235	2,3	9,77
6	7,86192	2,8	16,87	9,91675	2,1	-10,24
7	9,56261	3,0	13,93	12,74341	2,8	-9,39
8	9,91717	3,4	7,10	14,32720	3,8	-9,82
9	11,68485	3,2	17,51	16,14565	4,1	-8,03
10	12,79376	3,2	16,27	16,15504	1,9	-8,20
11	14,32763	3,6	9,47	16,64144	4,3	-9,05
12	16,14565	4,3	13,14	18,12368	4,1	-8,38
13	16,23611	2,6	12,75	18,44069	2,3	-8,25
14	17,79771	4,7	8,39	24,31163	5,3	-1,82
15	19,08709	6,0	5,93	25,31045	2,8	4,92
16	25,07067	2,6	21,22	26,80379	2,6	7,71
17	25,46747	2,6	18,49	27,53851	1,9	8,20
18	26,53157	2,8	16,46	30,25424	3,6	-4,70
19	27,53765	3,0	16,66	34,25851	2,3	-8,15
20	27,76805	2,6	15,27	34,28453	2,8	-8,36
21	30,25467	3,6	14,13	34,44325	2,8	-7,13
22	37,59675	3,8	6,23	35,59653	2,1	-5,76
23	37,86640	3,4	5,66	36,64827	3,6	-3,16
24	38,24699	5,8	5,84	37,86427	7,9	-7,66
25	39,14939	3,2	8,92	40,22757	4,1	-0,84
26	42,50128	2,8	14,57	44,81339	2,6	6,60
27	43,12848	2,6	15,03	45,74608	2,6	7,00
28	44,56763	2,6	16,90	48,79888	2,8	-1,58
29	45,74523	2,6	15,52	49,68763	3,8	-4,62
30	46,79653	3,4	10,95	50,10661	4,9	-1,18
31	46,87931	2,8	12,19	53,68464	3,8	-10,42
32	49,68763	2,6	13,58	54,34213	4,3	-9,10
33	50,43557	5,8	7,15	54,61264	2,3	-8,59
34	53,68549	3,8	7,76	56,56507	4,7	-3,10
35	54,40016	3,0	11,28	58,92709	3,4	2,84
36	55,31152	2,6	9,20	58,95397	4,7	2,80
37	57,38128	5,8	7,90	62,67579	3,4	-0,86
38	58,19920	3,8	10,57	66,61093	3,6	-5,46
39	63,32688	2,8	15,33	70,18000	4,7	-5,56
40	64,28816	2,1	18,36	70,89509	2,3	0,89
41	65,42480	3,2	17,80	71,21339	4,3	2,13
42	66,97659	2,8	14,71	72,26299	3,4	3,21
43	68,48187	3,8	13,67	72,50832	2,3	3,38
44	71,21381	3,0	11,03	72,91109	1,9	3,41
45	71,22747	5,1	11,11	76,01125	2,8	3,87
46	71,99035	2,8	14,08	79,56411	2,1	-3,29
47	72,91109	3,0	14,93	81,47344	2,8	-5,38
48	73,62917	4,3	14,45	89,94747	2,1	2,59
49	76,15291	2,6	16,17	91,10757	2,3	3,79
50	77,48923	3,4	17,91	94,98085	2,8	-3,67
51	78,33232	4,1	18,76	95,21424	3,4	-4,64
52	79,44592	2,6	20,16	96,07355	2,1	-1,10
53	81,45125	2,8	13,36	99,35632	3,4	-5,19
54	82,98000	2,6	15,81	100,59152	3,2	-1,54
55	83,15749	2,6	15,68	100,87099	3,0	-1,74
56	86,17829	2,8	11,29	103,13829	3,2	0,43
57	86,20133	4,5	11,29	103,61445	3,2	1,15
58	87,08496	4,5	9,95	104,10128	2,6	1,74
59	88,62992	3,6	13,73	104,71611	2,8	-0,40
60	91,27141	3,4	16,52	105,60357	3,6	0,14
61	91,77744	3,8	17,60	106,07163	2,6	0,61
62	93,17349	2,6	19,32	107,61744	2,3	-7,20
63	95,01968	2,6	14,05	109,59931	1,7	-5,84
64	98,44795	3,4	9,46	110,03280	2,6	-2,83
65	99,09904	4,5	11,80	111,25051	3,6	-5,05
66	99,62299	4,9	11,71	112,24080	2,3	-0,44
67	99,78981	3,8	14,98	112,45115	2,3	-2,49
68	103,13829	4,3	15,75	114,68005	3,2	0,74
69	103,61488	2,3	16,45	115,78171	2,3	-8,86
70	106,07163	3,0	19,93	116,91195	2,1	0,10
71	108,28901	2,6	18,87	118,68773	3,6	-0,42
72	112,37904	4,3	15,15	119,18651	2,3	0,23
73	114,77008	3,4	18,53	124,71525	3,6	-6,39
74	118,27600	2,8	18,41	126,80805	2,3	-1,01
75	120,14736	3,0	18,06	127,57733	4,1	0,18
76	121,61125	2,1	16,80	134,06395	2,3	-0,27
77	121,62917	3,4	16,79	136,70587	2,1	-1,17
78	122,52005	2,8	14,80	138,48763	3,2	1,03
79	123,64176	2,8	15,77	140,00869	2,1	-3,82
80	124,71525	2,6	15,06	140,56165	4,9	-1,71
81	128,59237	3,6	16,13	142,79952	2,8	-0,47
82	130,13392	3,0	17,07	142,85029	2,8	-0,48
83	132,74213	2,6	16,44	144,45541	3,6	1,14
84	133,07579	4,9	16,73	145,16539	2,1	-7,84
85	134,36901	3,4	17,99	145,92571	2,6	-1,89
86	135,54917	2,3	19,11	149,52123	2,1	-0,25
87	140,56208	3,6	14,17	151,97627	2,1	-0,57
88	142,32251	2,3	18,36	152,01851	2,3	-1,00
89	142,79952	3,2	18,57	154,30288	2,8	-1,62
90	144,33125	2,8	18,28	156,54331	2,6	-0,95
91	145,00581	2,1	21,68	157,47600	2,1	-1,91
92	145,19781	2,1	20,96	160,17851	2,1	-2,50
93	149,78533	2,6	18,58	160,83216	3,6	-1,33
94	149,86725	2,3	18,94	162,04603	2,6	-1,32
95	150,65744	3,0	19,40	162,38821	2,6	-1,00
96	152,01893	2,6	20,01	162,52816	1,9	-0,86
97	152,40251	2,3	20,24	165,33051	2,6	-0,88
98	153,17904	3,0	19,35	166,47696	2,3	-1,48
99	154,94885	2,6	18,95	166,95184	2,1	-1,27
100	155,68827	2,3	19,43	170,14885	2,8	-1,42
101	157,26608	2,8	20,54	171,12805	3,6	-1,52
102	157,47600	2,1	19,88	171,91056	2,1	-1,01
103	160,83259	3,0	18,39	173,73883	2,1	-1,15
104	160,98064	2,1	18,17	174,05413	3,0	-1,09
105	162,04645	2,8	18,54	178,29904	3,0	-1,79
106	162,38779	2,3	18,54	179,69936	3,0	-1,92
107	162,44667	2,1	19,05	179,90544	3,0	-1,98
108	167,53765	2,3	19,71	180,10683	1,9	-2,08
109	170,14928	2,1	19,73	181,93168	2,3	-2,43
110	174,85925	2,1	20,13	182,47568	2,6	-1,90
111	177,20848	2,6	19,56	182,90533	1,9	-2,18
112	179,69893	2,8	19,04	185,56603	3,2	-2,25
113	179,90587	2,8	18,85	188,05179	3,4	-2,13
114	188,72933	2,8	18,66	190,58021	2,3	-2,18
115	190,80165	3,0	18,45	190,80123	2,6	-2,35
116	192,81595	2,6	18,23	192,81552	2,8	-2,38
117	195,46811	3,2	18,04	193,26011	2,3	-2,03
118	197,46917	3,6	18,29	194,55632	2,1	-2,50
119	197,49435	2,8	17,93	195,06235	2,6	-2,37
120	198,19920	2,6	18,42	195,11227	3,4	-2,24
121	205,31088	3,6	17,89	195,61744	2,8	-2,50
122	207,37979	2,3	18,06	196,97253	1,9	-2,22
123	208,94437	3,0	18,16	197,49392	3,0	-2,36
124	210,70224	2,6	18,15	201,81392	2,8	-2,51
125	212,41403	3,4	18,13	202,91088	3,0	-2,52
126	213,26181	2,1	18,09	207,81285	3,2	-2,74
127	213,39365	3,4	18,04	208,94437	2,1	-3,08
128	213,76827	3,0	18,37	210,49829	4,3	-2,65
129	216,46864	2,3	18,32	210,70224	2,8	-2,67
130	217,37659	2,3	18,05	211,62341	3,0	-2,45
131	220,36155	2,6	18,55	212,03557	3,0	-3,01
132	220,76859	2,8	18,61	213,26096	3,2	-2,76
133	223,70107	2,6	18,12	213,39408	3,6	-2,84
134	224,02235	2,8	18,92	214,56272	2,6	-2,96
135	225,38043	3,6	18,31	217,75419	3,4	-3,03
136	225,46917	3,2	18,51	221,62747	3,0	-3,13
137	225,82544	3,4	17,38	221,86981	2,8	-2,86
138	227,81755	2,8	17,96	223,57819	2,8	-3,21
139	228,52624	2,3	18,85	223,70064	3,6	-3,08
140	229,23408	2,8	18,29	224,60517	3,0	-3,42
141	230,16848	2,6	18,27	225,21872	2,8	-3,18
142	231,35291	2,8	18,59	225,38427	2,1	-2,82
143	231,48731	2,6	18,68	226,82853	3,4	-3,11
144	232,73829	2,8	18,10	226,89595	3,0	-3,18
145	236,09147	2,3	18,74	227,37893	3,2	-3,03
146	236,09915	3,0	19,08	228,11109	2,6	-3,07
147	237,30832	3,2	18,59	230,82768	2,6	-3,68
148	238,57893	2,8	18,47	231,35291	3,0	-3,20
149	238,89595	2,6	18,69	232,45669	2,6	-3,42
150	239,81200	3,0	19,08	234,19451	2,3	-3,84
151	240,48357	3,2	18,69	236,09104	3,2	-3,11
152	240,80784	2,3	19,08	238,91045	2,6	-3,21
153	241,45467	3,0	18,52	239,49755	3,4	-2,82
154	242,57467	3,8	18,54	239,81200	3,0	-3,07
155	246,51195	2,8	18,76	240,73787	1,9	-2,70
156	247,78341	2,6	18,64	242,72741	4,1	-2,79
157	248,22075	2,8	18,41	245,35397	2,1	-2,71
158	248,30992	2,3	18,33	245,85616	2,6	-2,58
159	249,53061	2,1	17,94	246,20304	1,7	-2,72
160	251,96517	3,4	17,95	247,44720	3,2	-1,99
161	255,21893	2,3	18,34	247,64688	1,9	-2,74
162	255,89819	2,6	17,61	247,73563	2,1	-2,65
163	256,67301	3,0	17,65	247,78256	4,1	-2,65
164	260,80741	3,2	15,86	247,87387	1,9	-2,92
165	263,15451	2,6	15,15	249,53019	3,4	-2,40
166	266,17744	3,6	15,51	252,67771	4,3	-2,96
167	266,50811	3,0	15,71	252,77157	2,3	-2,99
168	272,69264	2,1	16,14	252,84283	2,6	-2,95
169	274,72016	3,2	15,10	255,21851	2,1	-1,13
170	276,25445	3,4	16,65	255,38021	2,3	-2,23
171	277,74181	3,6	15,87	258,36219	2,8	-2,15
172	279,05467	2,3	16,45	258,37797	2,3	-2,07
173	281,07280	3,0	16,37	258,70949	2,6	-2,06
174	281,27547	2,8	17,03	259,61104	3,8	-1,81
175	281,95600	3,0	17,64	260,30011	2,6	-3,22
176	282,87120	2,3	17,14	260,80784	3,0	-2,61
177	286,43685	3,2	16,87	263,15365	3,0	-2,72
178	292,12773	2,3	18,20	264,35984	3,6	-4,05
179	292,65467	3,2	18,77	265,28528	3,6	-2,73
180	297,54853	3,0	19,47	266,50768	2,8	-2,60
181	297,66629	2,8	19,67	266,51920	3,0	-2,79
182	297,94960	2,6	18,24	266,93307	1,9	-2,46
183	299,27739	2,6	18,47	268,05819	3,6	-4,32
184	299,73861	2,3	18,16	270,13819	3,2	-3,88
185	303,03888	3,0	18,31	272,69221	4,3	-3,95
186	306,53883	4,1	18,32	273,91333	3,2	-2,49
187	308,58512	2,6	18,54	276,07952	2,1	-2,89
188	309,50331	4,1	18,15	277,54896	1,9	-2,10
189	311,39131	4,3	18,20	278,73040	4,7	-1,20
190	312,25147	2,8	18,38	279,05467	2,8	-3,38
191	312,58896	2,3	18,08	279,90075	3,2	-1,99
192	313,07365	2,6	18,27	281,07323	4,5	-3,40
193	314,11429	2,6	18,17	281,27461	3,2	-4,26
194	315,09435	2,3	18,25	283,96133	3,2	-3,17
195	315,86917	2,8	17,98	285,63387	2,6	-2,30
196	316,17125	3,4	17,97	286,00507	3,4	-3,08
197	317,74267	3,6	17,80	287,34395	3,2	-1,66
198	318,05925	2,8	18,14	288,93243	2,8	-2,27
199	318,06693	2,8	17,67	289,95216	2,1	-3,08
200	318,59088	3,6	18,30	290,44197	2,6	-3,28
