DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:23:43
10;0,00 mm;0,00 mm;75,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	0,33339	3,4	17,60	0,07227	2,8	-3,70
2	1,78917	2,3	17,75	1,15045	1,9	-3,62
3	1,81008	3,2	18,31	1,77083	3,0	-3,72
4	6,22011	3,2	19,67	3,08197	2,8	-3,52
5	6,44283	2,1	19,71	4,60773	3,2	-3,77
6	11,89051	2,1	19,88	4,69221	3,2	-3,63
7	18,35920	3,2	17,48	6,44240	2,1	-3,30
8	19,06960	3,2	17,24	7,67888	3,0	-2,61
9	19,78512	3,0	17,58	7,96219	2,8	-2,80
10	29,80752	2,1	18,89	9,10608	2,8	-3,00
11	32,24763	2,3	16,95	9,38427	2,1	-2,76
12	33,99909	2,3	16,44	10,65573	2,1	-2,61
13	35,27355	2,3	16,26	11,79749	2,1	-2,36
14	35,65371	4,7	16,44	12,16400	2,3	-2,11
15	35,81285	3,0	16,48	13,88261	2,3	-2,37
16	36,79803	4,7	16,87	15,40155	2,6	-3,77
17	38,32848	3,4	17,41	17,06469	2,8	-4,52
18	39,58501	3,6	18,00	18,11771	2,8	-5,13
19	39,59696	2,1	18,00	18,52987	3,2	-5,33
20	40,01040	2,6	17,94	19,63664	3,4	-5,53
21	45,27376	2,1	20,11	22,09893	3,2	-5,71
22	45,74651	2,3	20,33	23,33413	3,6	-5,45
23	46,56827	2,3	19,97	24,90085	2,6	-4,61
24	46,92837	2,8	19,73	26,84389	2,1	-3,27
25	49,93509	1,9	17,90	27,69168	2,8	-2,64
26	54,09253	2,1	17,30	28,11835	2,6	-2,39
27	54,57595	4,5	17,18	28,85819	2,6	-2,13
28	55,08837	2,3	17,07	30,65232	3,0	-0,66
29	60,86971	3,4	19,00	31,77573	2,6	0,17
30	61,41200	3,0	19,03	34,92155	3,0	-1,53
31	62,11813	2,3	19,46	36,81552	2,8	-2,43
32	64,72336	2,6	19,57	37,64453	3,2	-3,07
33	66,50213	2,6	18,59	39,16987	2,8	-3,44
34	67,79707	3,4	17,78	39,59696	2,8	-3,78
35	68,21861	2,3	17,90	40,00997	3,8	-3,57
36	69,50288	2,3	17,93	40,81552	3,0	-4,08
37	73,02885	3,0	19,04	40,88677	2,8	-4,06
38	74,68048	3,0	19,40	41,32667	2,6	-3,95
39	75,44805	2,3	18,98	41,44613	1,9	-4,16
40	76,76048	2,1	18,79	41,96155	2,1	-4,39
41	77,43248	2,6	18,81	42,08272	2,3	-4,04
42	78,33829	3,0	19,52	42,24187	2,3	-4,19
43	78,41637	3,2	19,00	42,46117	2,6	-3,87
44	79,77659	3,0	18,58	43,13829	2,8	-3,97
45	80,23611	3,0	18,26	43,57093	2,8	-3,55
46	80,57701	2,3	18,26	44,58725	3,6	-2,84
47	83,21680	2,6	17,64	45,27376	3,6	-2,61
48	83,23344	3,2	17,62	45,31899	2,6	-2,62
49	85,04336	3,4	17,79	45,97435	2,6	-1,76
50	89,98331	2,8	17,90	46,12283	3,0	-2,38
51	92,73531	2,8	17,17	46,92837	3,8	-1,63
52	93,49008	3,4	16,97	47,43483	2,1	-1,33
53	98,22821	4,1	17,45	49,00880	2,8	-0,84
54	100,76091	2,6	18,42	49,22725	3,0	-1,06
55	101,62747	2,8	18,99	49,45552	2,6	-0,89
56	102,17232	2,3	18,54	53,98331	2,3	-2,22
57	105,54512	2,3	18,22	54,85627	2,3	-2,46
58	105,87877	2,6	18,14	56,27237	3,0	-2,69
59	106,57467	2,3	18,26	57,79216	2,3	-2,97
60	107,14853	3,0	18,18	58,47824	3,0	-3,04
61	109,11376	2,6	17,99	59,04187	2,3	-2,85
62	112,21605	3,0	18,62	60,70160	1,9	-2,65
63	112,55483	2,8	18,70	60,87013	3,8	-2,87
64	115,96645	2,6	18,66	61,41200	2,6	-2,57
65	119,21211	3,2	17,93	62,50939	2,1	-2,27
66	119,77659	2,1	17,73	63,65456	2,1	-1,61
67	123,82011	2,1	18,86	67,32987	3,2	-0,72
68	129,31856	2,3	18,52	68,57915	2,6	-1,34
69	130,58448	2,1	18,20	69,50288	2,1	-1,81
70	136,19301	2,6	18,06	70,11643	1,9	-2,07
71	137,86171	2,8	18,01	70,19408	1,9	-2,21
72	139,04485	2,3	18,37	71,52912	2,3	-2,97
73	140,80443	3,4	18,50	72,87696	2,6	-3,27
74	142,66427	2,6	18,22	73,47557	3,0	-3,54
75	144,40080	2,1	17,89	73,66032	3,0	-3,21
76	145,15856	2,3	17,99	73,71024	2,3	-3,46
77	145,32197	2,6	18,47	75,14896	2,3	-3,11
78	147,51760	2,6	18,74	76,40208	3,2	-2,97
79	150,68560	2,8	18,73	76,75963	2,8	-2,66
80	151,37680	2,1	18,51	78,41637	1,9	-2,76
81	154,95355	2,6	18,28	79,64347	3,2	-3,30
82	155,55941	2,8	18,79	79,77616	2,8	-3,32
83	156,47632	3,6	18,65	80,22928	2,3	-3,53
84	157,01520	3,2	18,33	80,88933	2,8	-3,57
85	161,40517	3,4	18,76	81,17264	1,9	-3,41
86	161,71877	3,4	18,42	81,31387	2,8	-3,52
87	161,89200	3,2	18,53	82,64549	2,6	-3,73
88	167,06832	3,0	18,89	82,87675	3,2	-3,81
89	167,15067	2,6	19,10	83,23301	2,3	-3,86
90	167,42288	2,3	18,91	84,60987	1,9	-4,04
91	169,19781	2,8	18,37	85,99824	3,8	-3,95
92	171,26075	2,8	18,06	87,48645	1,9	-3,87
93	174,78757	2,3	18,78	87,68357	2,6	-3,66
94	174,81531	2,3	18,58	88,36496	1,9	-3,68
95	174,85413	2,8	18,48	89,83781	3,0	-3,11
96	176,04069	2,8	18,72	90,50939	3,0	-2,53
97	177,89755	2,8	18,55	90,84048	1,9	-2,67
