DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:10:20
2;0,00 mm;0,00 mm;-125,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	2,98896	2,3	18,57	0,83600	2,6	-3,81
2	13,94448	2,3	17,30	2,62160	2,6	-3,58
3	20,24293	2,3	17,86	4,19003	2,8	-3,64
4	26,96208	3,4	17,83	4,49765	2,3	-3,93
5	29,41968	3,0	17,61	5,10693	2,6	-3,72
6	35,13403	3,0	18,12	5,42096	2,1	-3,62
7	38,56528	2,6	18,17	6,04347	3,4	-3,44
8	39,72880	2,6	18,32	7,09136	4,1	-3,55
9	43,92421	2,3	18,24	7,43781	3,2	-3,67
10	44,30779	2,6	18,68	9,39920	2,1	-3,46
11	47,26501	2,8	18,58	9,47515	2,6	-3,56
12	50,73936	3,0	18,71	9,66331	3,0	-3,50
13	53,11120	2,6	18,50	11,24411	2,3	-3,47
14	54,64976	2,8	18,60	12,31333	2,8	-3,58
15	55,83973	3,0	18,95	12,84880	2,6	-3,24
16	63,60507	2,6	18,30	13,53531	3,0	-3,36
17	66,07077	2,3	18,45	16,52283	2,6	-3,57
18	71,68059	2,1	18,01	17,11333	2,6	-3,58
19	77,72731	3,4	18,22	17,23920	3,4	-3,44
20	79,36059	2,6	17,83	20,24208	3,6	-3,09
21	84,63333	3,2	18,02	20,31504	2,1	-2,96
22	90,18981	2,8	18,11	22,03280	3,0	-3,74
23	91,38576	4,3	18,28	22,49488	3,6	-3,26
24	92,89275	2,3	18,62	24,14693	2,6	-3,37
25	95,44037	2,8	18,10	26,72016	2,3	-3,92
26	96,50576	3,4	18,36	28,92048	3,2	-3,42
27	97,45467	3,4	18,57	29,92699	3,4	-3,69
28	99,71600	3,0	18,36	30,88741	3,8	-3,75
29	100,18320	2,3	18,55	32,06160	1,7	-3,74
30	108,38928	2,6	19,13	33,77552	2,6	-3,52
31	113,91888	2,3	18,68	34,52347	2,3	-3,54
32	123,99376	2,3	18,67	34,95739	2,3	-3,93
33	127,40923	2,8	18,73	37,08347	2,8	-4,40
34	135,87856	2,3	18,25	37,76528	3,2	-4,15
35	136,22160	2,6	17,99	38,34171	3,4	-3,72
36	138,40485	2,8	17,59	39,72496	3,4	-4,05
