DXEX v5
C:\Users\LDA-User\Desktop\MIS1_SS24.lda
11:12:27
10;0,00 mm;0,00 mm;75,00 mm
New Region
"Row#"	"Arrival Time [ms]"	"Transit Time [us]"	"Velocity U [m/s]"	"Arrival Time{2} [ms]"	"Transit Time{2} [us]"	"Velocity V (PDA){2} [m/s]"	
1	7,56923	2,8	18,49	1,13125	2,1	-4,32
2	7,67845	3,0	18,40	1,75120	3,8	-4,31
3	8,48229	2,1	18,80	1,89627	3,0	-4,46
4	10,18341	2,1	18,33	2,14544	2,6	-4,02
5	22,71291	3,4	16,91	2,18896	4,5	-4,19
6	24,61157	3,0	16,65	2,57595	3,6	-4,16
7	27,32944	3,6	16,68	3,39771	2,3	-4,16
8	29,47173	3,6	16,62	4,22117	3,4	-4,11
9	32,80741	2,3	17,30	6,68261	2,6	-3,94
10	33,80325	4,1	17,22	10,32037	2,3	-3,91
11	40,33723	2,6	17,76	10,39419	2,1	-3,99
12	43,34395	3,0	18,50	11,35419	2,3	-4,18
13	43,79024	2,3	18,71	12,08933	2,1	-4,11
14	45,08517	3,6	18,53	12,39141	2,3	-4,07
15	46,93563	3,4	19,24	12,69947	3,4	-3,85
16	47,27824	2,6	18,87	12,76773	2,8	-3,61
17	52,20069	2,6	19,18	14,98000	1,9	-4,51
18	52,29925	2,6	19,28	15,25435	3,0	-4,26
19	60,18875	2,1	19,24	15,87941	3,2	-4,34
20	60,82619	3,2	19,04	16,64869	2,6	-4,98
21	61,66459	2,8	18,76	16,70885	3,2	-5,01
22	62,36517	3,2	18,63	18,49659	2,8	-5,59
23	64,48827	2,6	18,85	20,51685	2,6	-5,68
24	73,11931	2,6	18,09	21,37061	2,8	-5,52
25	73,63344	2,6	18,11	21,99781	3,8	-5,29
26	74,28624	3,6	18,03	22,28880	2,6	-5,31
27	76,98533	2,8	17,11	22,71248	1,9	-5,26
28	77,30149	2,6	17,34	23,23685	2,8	-5,12
29	79,24965	3,2	16,53	24,40080	2,1	-4,99
30	79,83035	3,2	16,77	24,61157	2,3	-4,96
31	85,62491	2,6	17,48	25,05787	1,9	-4,96
32	86,24101	2,1	17,59	25,73072	2,3	-4,75
33	94,91600	2,1	19,58	26,01445	3,4	-4,56
34	95,41861	2,3	19,72	28,69861	2,1	-4,06
35	97,44912	2,6	19,37	30,98683	2,1	-3,78
36	97,98501	2,6	19,43	31,41008	3,0	-3,40
37	98,73936	3,0	19,71	32,26725	2,3	-3,49
38	102,29947	2,6	18,56	33,57669	3,2	-3,34
39	103,62683	2,6	19,55	36,63419	1,9	-3,01
40	105,02672	3,2	17,11	38,19835	1,9	-2,99
41	106,16848	3,4	17,78	39,38405	3,4	-3,03
42	107,85424	2,1	18,23	40,66491	2,3	-3,24
43	109,26053	3,6	18,05	41,19056	3,6	-3,28
44	112,33893	2,6	18,63	43,79451	3,2	-3,29
45	117,65307	2,3	19,77	43,92933	3,0	-3,25
46	118,58107	2,3	20,61	46,58235	3,4	-3,34
47	118,58960	3,2	20,07	50,23845	2,3	-3,20
48	119,27952	3,6	19,28	50,87163	2,1	-3,00
49	123,24581	2,1	19,21	51,15664	2,1	-3,65
50	133,53488	3,4	16,16	51,16859	2,8	-3,54
51	138,81659	3,6	16,06	51,90800	1,9	-3,67
52	139,36315	2,8	16,10	52,76816	2,1	-3,76
53	140,61968	2,8	16,19	53,24219	2,3	-3,65
54	141,35824	4,5	16,44	55,32688	2,1	-3,66
55	146,73168	2,8	17,11	55,64261	2,3	-3,52
56	153,68635	2,1	18,91	56,32955	3,6	-3,64
57	159,67120	1,9	19,75	56,49125	2,6	-3,91
58	160,78907	3,0	19,47	56,56592	2,3	-3,98
59	161,21787	2,8	19,46	56,71781	2,3	-3,71
60	161,45424	3,2	19,44	57,32581	3,4	-3,88
61	169,71195	2,1	18,23	59,94597	2,3	-4,28
62	171,12293	3,4	18,13	60,44901	2,3	-4,18
63	174,29605	2,6	17,51	61,66459	2,8	-4,34
64	176,32357	3,0	16,84	62,02341	2,3	-4,28
65	177,26949	3,0	17,15	62,36517	3,2	-4,21
66	178,41893	3,0	16,82	62,40869	2,6	-4,17
67	181,67312	3,8	16,70	62,58021	2,8	-4,12
68	182,75088	2,3	16,71	63,04955	2,3	-4,20
69	182,82597	3,0	16,54	63,29787	3,0	-4,08
70	188,19856	2,8	17,00	63,31195	2,1	-4,13
71	188,98619	3,6	17,44	64,00571	3,0	-3,99
72	189,50971	3,0	17,32	64,19472	3,0	-3,91
73	189,94917	2,8	17,62	64,48784	2,8	-3,74
74	191,36357	3,2	18,04	64,58811	1,9	-4,09
75	191,58715	3,2	18,03	65,19141	2,8	-3,89
76	192,79205	3,4	18,53	65,58480	2,6	-4,00
77	193,26608	2,6	18,56	66,00805	1,9	-4,04
78	194,48037	3,4	19,29	66,23419	3,0	-3,91
79	196,71909	2,6	19,47	66,32464	2,3	-3,80
80	196,82917	3,2	19,55	66,67408	2,6	-3,93
81	198,53413	2,6	19,57	70,67877	2,1	-4,68
82	207,45317	2,8	18,68	71,67248	1,9	-5,05
83	211,35333	2,1	18,64	72,70715	2,1	-5,44
84	218,42277	2,3	18,44	72,97936	4,1	-5,40
85	224,37605	2,6	18,72	73,02672	2,1	-5,40
86	226,12155	2,3	18,12	73,11888	2,6	-5,54
87	229,71792	2,6	18,55	74,58107	2,1	-5,73
88	232,00528	2,3	18,23	74,67920	2,1	-5,68
89	235,50011	2,3	18,27	74,73893	3,8	-5,62
90	238,38565	4,1	18,32	74,89680	3,8	-5,58
91	241,69829	3,4	18,71	75,12635	2,8	-5,86
92	243,26288	2,6	19,04	75,29829	3,4	-5,72
93	244,59707	2,3	19,22	76,31077	2,1	-5,95
94	245,67995	2,3	19,32	78,88187	2,1	-5,15
95	246,20091	3,6	19,13	79,19803	3,0	-5,22
96	251,44549	3,2	19,97	80,72251	2,3	-4,40
97	257,66203	2,6	19,35	82,24955	2,8	-3,65
98	257,87067	2,1	19,49	82,87888	1,9	-3,83
99	258,29563	3,0	19,04	83,02224	2,8	-3,60
100	259,29616	2,8	18,68	83,53253	3,4	-3,71
101	261,29211	3,4	17,91	83,88240	4,1	-3,42
102	266,28880	3,2	17,09	84,59664	2,3	-3,27
103	267,89221	2,8	17,25	85,62448	3,0	-3,07
104	272,54459	3,0	17,72	86,24059	3,0	-3,16
105	275,51461	4,3	18,31	86,30843	3,2	-3,18
106	282,17147	2,3	18,26	87,51504	2,8	-2,95
107	282,41296	2,8	18,44	88,38245	4,1	-3,14
108	282,85157	3,2	18,09	88,45584	3,8	-2,90
109	283,80005	3,8	18,72	89,05488	2,6	-3,17
110	287,97499	2,8	17,86	89,76229	2,1	-2,83
111	289,31984	2,6	18,48	90,57381	2,6	-3,11
112	291,46853	3,8	18,23	91,66480	3,6	-3,03
113	292,69264	2,3	18,44	93,18843	2,6	-3,26
114	294,78928	2,8	18,39	93,23920	2,6	-3,35
